"","stid","lng","lat","wp90","wpc","wpmax","wh90","wh4mH","whmax","nc_ubedmean","Ubms","T1h","T2h"
"448","15017_14",143.95439836579,-13.0531988515196,2.23342917003365,337.88876093473,3.25534858751294,1.18273740288302,0,1.36886343432612,0.0482054431715743,0,0,0
"449","15017_15",143.954122323514,-13.0533908387847,2.22611800193696,337.319907971877,3.24520196130785,1.18041625024088,0,1.3663233782994,0.0560757563389838,0,0,0
"450","15017_16",143.953841724916,-13.0536906855378,2.22611800193696,339.712449754827,3.24520196130785,1.18041625024088,0,1.3663233782994,0.0411908447768095,0,0,0
"451","15017_17",143.953668601626,-13.0539991004056,2.21464063456458,338.959698793041,3.23272721607634,1.17842832305651,0,1.36369635665415,0.0396660798686257,0,0,0
"452","15017_18",143.953492010884,-13.0543180950331,2.20235627256722,339.777350060024,3.21601296869259,1.17645395842361,0,1.36086861817566,0.0557066802340003,0.04,0,0
"453","15017_19",143.953263537963,-13.0545807027769,2.20235627256722,339.710439965749,3.21601296869259,1.17645395842361,0,1.36086861817566,0.0314933351135151,0,0,0
"454","15017_2",143.956844426829,-13.0507688344165,2.34301116277202,335.770294540336,3.44176358450185,1.21229526974049,0,1.41490975545131,0.0568698488100716,0.01,0,0
"455","15017_20",143.953120307706,-13.0548854949633,2.18259683996948,338.160751115486,3.17012149572451,1.16952669077849,0,1.3526756231925,0.0470011010862172,0,0,0
"456","15017_4",143.956435513695,-13.051065385994,2.32957803864516,337.896388579412,3.41565306170495,1.20740993369321,0,1.40796662716816,0.0582333586190371,0,0,0
"457","15017_6",143.956021542029,-13.0514823140329,2.30026374652603,335.070785821809,3.34432018118126,1.20064303872794,0,1.39069176712229,0.0740625001838811,0,0,0
"458","15017_9",143.955465625253,-13.0521526304284,2.27650212959037,335.841699713768,3.32187201248614,1.1976506211326,0,1.38493659981574,0.0598004424025659,0.09,1.3,0
"459","15025_10",144.407937537398,-13.9358353105953,2.36847944217152,298.499359973919,3.39521962528159,1.2342891247999,0,1.42788149908836,0.173172562535661,0.01,0,0
"460","15025_11",144.408183520788,-13.936048526379,2.27330722385949,290.680844569617,3.33344612028982,1.22083487978873,0,1.41462809516969,0.175634657276461,0.04,0,0
"461","15025_12",144.408412798317,-13.9362377510765,2.48264159237867,297.655190424727,3.33344612028982,1.22083487978873,0,1.41462809516969,0.16888473899159,0.06,0,0
"462","15025_13",144.408695028132,-13.9364977297154,2.25322279609477,287.596099094144,3.28519613630307,1.21050358925097,0,1.40455116272415,0.17857988399921,0.06,0,0
"463","15025_14",144.409025765854,-13.9367332381834,2.25322279609477,287.596099094144,3.28519613630307,1.21050358925097,0,1.40455116272415,0.194424759211221,0.07,0,0
"464","15025_19",144.410132997279,-13.9376658313143,2.4047991081391,280.68660301657,3.06344705084355,1.15779751841929,0,1.35668228332936,0.210183839888539,0.05,0,0
"465","15025_21",144.410736606379,-13.938051848744,2.2717440640573,268.556041834279,2.91547258069507,1.13053956651694,0,1.32692959244018,0.190321606694702,0.05,0,0
